Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Split Rock township, Carlton County, Minnesota",180,179,3,0,1,0,0,180,4,176,177,3
"Thomson township, Carlton County, Minnesota",5057,4992,57,48,0,5,0,5057,28,5029,5012,45
"Twin Lakes township, Carlton County, Minnesota",1951,1860,57,72,26,3,9,1951,28,1923,1889,62
"Wrenshall city, Carlton County, Minnesota",461,461,12,3,0,0,0,461,2,459,448,13
"Wrenshall township, Carlton County, Minnesota",381,366,0,15,2,0,0,381,2,379,379,2
"Wright city, Carlton County, Minnesota",151,133,21,0,3,0,0,151,5,146,146,5
"Benton township, Carver County, Minnesota",732,732,0,4,12,0,0,732,19,713,716,16
"Camden township, Carver County, Minnesota",888,879,0,1,13,0,0,888,4,884,883,5
"Carver city, Carver County, Minnesota",4470,4013,214,13,280,0,142,4470,138,4332,4278,192
"Chanhassen city, Carver County, Minnesota",25108,23107,393,81,1680,25,196,25108,900,24208,24759,349
"Chaska city, Carver County, Minnesota",25578,24092,802,314,1146,46,295,25578,2242,23336,24499,1079
"Cologne city, Carver County, Minnesota",1729,1581,119,15,12,0,31,1729,47,1682,1706,23
"Dahlgren township, Carver County, Minnesota",1267,1235,29,0,11,6,0,1267,2,1265,1253,14
"Hamburg city, Carver County, Minnesota",503,495,4,11,5,0,0,503,0,503,494,9
"Hancock township, Carver County, Minnesota",362,358,0,0,5,0,0,362,33,329,361,1
"Hollywood township, Carver County, Minnesota",965,958,2,5,11,0,0,965,39,926,954,11
"Laketown township, Carver County, Minnesota",2074,1928,29,16,96,5,20,2074,51,2023,2054,20
"Mayer city, Carver County, Minnesota",1977,1908,56,4,76,0,4,1977,17,1960,1906,71
"New Germany city, Carver County, Minnesota",399,398,5,3,1,0,0,399,0,399,391,8
"Norwood Young America city, Carver County, Minnesota",3686,3493,177,59,20,0,28,3686,44,3642,3595,91
"San Francisco township, Carver County, Minnesota",813,796,20,2,0,0,0,813,13,800,808,5
"Victoria city, Carver County, Minnesota",8679,8572,117,18,165,0,0,8679,111,8568,8495,184
"Waconia city, Carver County, Minnesota",11751,11535,243,18,87,0,44,11751,278,11473,11576,175
"Waconia township, Carver County, Minnesota",1153,1153,0,3,0,0,0,1153,0,1153,1150,3
"Watertown city, Carver County, Minnesota",4329,4263,38,70,34,0,0,4329,108,4221,4291,38
"Watertown township, Carver County, Minnesota",1593,1591,5,7,0,0,0,1593,0,1593,1588,5
"Young America township, Carver County, Minnesota",743,716,0,0,24,0,3,743,5,738,743,0
"Ansel township, Cass County, Minnesota",77,77,0,0,0,0,0,77,0,77,77,0
"Backus city, Cass County, Minnesota",313,313,8,0,0,0,0,313,6,307,305,8
"Barclay township, Cass County, Minnesota",619,615,0,4,6,0,0,619,0,619,613,6
"Becker township, Cass County, Minnesota",551,551,0,0,4,0,0,551,0,551,547,4
"Bena city, Cass County, Minnesota",106,41,25,91,0,0,0,106,0,106,77,29
"Beulah township, Cass County, Minnesota",80,80,0,0,0,0,0,80,0,80,80,0
"Birch Lake township, Cass County, Minnesota",511,485,0,9,13,0,4,511,6,505,511,0
"Blind Lake township, Cass County, Minnesota",83,83,0,0,0,0,0,83,0,83,83,0
"Boy Lake township, Cass County, Minnesota",267,130,0,142,0,0,0,267,0,267,262,5
"Boy River city, Cass County, Minnesota",59,59,0,0,0,0,0,59,0,59,59,0
"Boy River township, Cass County, Minnesota",62,60,0,2,0,0,0,62,0,62,62,0
"Bull Moose township, Cass County, Minnesota",144,144,0,0,0,0,0,144,0,144,144,0
"Bungo township, Cass County, Minnesota",148,146,2,0,0,0,0,148,0,148,148,0
"Byron township, Cass County, Minnesota",133,133,0,0,0,0,0,133,0,133,133,0
"Cass Lake city, Cass County, Minnesota",721,228,15,529,28,0,5,721,48,673,644,77
"Chickamaw Beach city, Cass County, Minnesota",123,123,0,0,0,0,0,123,3,120,123,0
"Crooked Lake township, Cass County, Minnesota",471,469,0,15,0,0,0,471,0,471,458,13
"Deerfield township, Cass County, Minnesota",127,124,0,0,3,0,0,127,3,124,127,0
"East Cass UT, Cass County, Minnesota",25,25,0,0,0,0,0,25,0,25,25,0
"East Gull Lake city, Cass County, Minnesota",975,975,0,4,0,0,0,975,18,957,971,4
"Fairview township, Cass County, Minnesota",889,887,0,2,2,0,0,889,17,872,887,2
"Federal Dam city, Cass County, Minnesota",91,74,1,21,6,0,0,91,0,91,84,7
"Gould township, Cass County, Minnesota",181,86,5,89,8,0,0,181,0,181,174,7
"Hackensack city, Cass County, Minnesota",276,270,2,13,0,0,0,276,0,276,267,9
"Hiram township, Cass County, Minnesota",327,326,1,0,1,0,1,327,2,325,325,2
"Home Brook township, Cass County, Minnesota",271,268,2,0,1,0,0,271,0,271,271,0
"Inguadona township, Cass County, Minnesota",206,199,3,10,2,0,11,206,14,192,187,19
"Kego township, Cass County, Minnesota",641,565,0,159,0,0,0,641,0,641,558,83
"Lake Shore city, Cass County, Minnesota",871,867,0,0,11,1,0,871,6,865,863,8
"Leech Lake township, Cass County, Minnesota",422,318,0,111,1,0,0,422,9,413,414,8
"Lima township, Cass County, Minnesota",120,114,0,12,0,0,0,120,0,120,114,6
"Longville city, Cass County, Minnesota",109,109,0,0,0,0,0,109,0,109,109,0
"Loon Lake township, Cass County, Minnesota",547,547,0,0,0,0,0,547,0,547,547,0
"McKinley township, Cass County, Minnesota",101,93,2,8,0,0,0,101,3,98,99,2
"Maple township, Cass County, Minnesota",347,345,2,0,0,0,0,347,7,340,347,0
"May township, Cass County, Minnesota",817,815,10,25,0,0,0,817,7,810,784,33
"Meadow Brook township, Cass County, Minnesota",258,252,0,25,6,0,0,258,16,242,233,25
"Moose Lake township, Cass County, Minnesota",127,124,0,3,0,0,0,127,0,127,127,0
"Motley city, Cass County, Minnesota",29,29,0,0,0,0,0,29,0,29,29,0
"North Cass UT, Cass County, Minnesota",174,69,14,105,0,0,0,174,28,146,160,14
"North Central Cass UT, Cass County, Minnesota",9,9,0,0,0,0,0,9,0,9,9,0
"Otter Tail Peninsula township, Cass County, Minnesota",53,52,0,1,0,0,0,53,0,53,53,0
"Pike Bay township, Cass County, Minnesota",1673,561,18,1262,23,0,2,1673,48,1625,1484,189
"Pillager city, Cass County, Minnesota",486,462,4,2,4,12,6,486,6,480,482,4
"Pine Lake township, Cass County, Minnesota",211,201,0,9,1,0,0,211,0,211,211,0
"Pine River city, Cass County, Minnesota",923,847,29,0,40,0,7,923,7,916,923,0
"Pine River township, Cass County, Minnesota",1209,1196,0,1,12,0,0,1209,14,1195,1209,0
"Ponto Lake township, Cass County, Minnesota",514,511,3,0,0,0,0,514,6,508,514,0
"Poplar township, Cass County, Minnesota",151,149,0,2,0,0,0,151,0,151,151,0
"Powers township, Cass County, Minnesota",603,590,8,3,3,0,0,603,0,603,602,1
"Remer city, Cass County, Minnesota",381,368,0,34,0,0,0,381,2,379,360,21
"Remer township, Cass County, Minnesota",194,179,15,0,0,0,0,194,0,194,194,0
"Rogers township, Cass County, Minnesota",88,71,0,16,1,0,0,88,0,88,88,0
"Salem township, Cass County, Minnesota",108,99,1,9,0,0,0,108,0,108,107,1
"Shingobee township, Cass County, Minnesota",1727,1449,50,348,3,0,0,1727,12,1715,1610,117
"Slater township, Cass County, Minnesota",233,222,0,7,6,0,0,233,5,228,231,2
"Smoky Hollow township, Cass County, Minnesota",72,72,0,0,0,0,0,72,0,72,72,0
"Sylvan township, Cass County, Minnesota",2723,2713,1,10,21,5,0,2723,226,2497,2696,27
"Thunder Lake township, Cass County, Minnesota",211,207,0,3,1,1,0,211,0,211,210,1
"Torrey township, Cass County, Minnesota",159,155,0,4,0,0,0,159,0,159,159,0
"Trelipe township, Cass County, Minnesota",132,130,0,2,0,0,0,132,13,119,132,0
"Turtle Lake township, Cass County, Minnesota",805,488,8,341,2,0,0,805,11,794,774,31
"Wabedo township, Cass County, Minnesota",409,409,0,0,0,0,0,409,0,409,409,0
"Wahnena UT, Cass County, Minnesota",117,115,0,2,0,0,0,117,0,117,117,0
"Walden township, Cass County, Minnesota",473,471,0,2,0,0,0,473,0,473,473,0
"Walker city, Cass County, Minnesota",933,750,29,176,5,0,4,933,2,931,902,31
"Wilkinson township, Cass County, Minnesota",509,249,14,284,3,0,0,509,24,485,475,34
"Wilson township, Cass County, Minnesota",612,568,1,54,11,11,0,612,0,612,601,11
"Woodrow township, Cass County, Minnesota",693,679,5,4,8,0,1,693,1,692,690,3
"Big Bend township, Chippewa County, Minnesota",279,279,0,0,4,0,0,279,4,275,275,4
"Clara City city, Chippewa County, Minnesota",1383,1343,0,0,0,0,40,1383,73,1310,1383,0
"Crate township, Chippewa County, Minnesota",186,186,0,0,0,0,0,186,0,186,186,0
"Grace township, Chippewa County, Minnesota",115,115,1,0,0,0,0,115,0,115,114,1
"Granite Falls township, Chippewa County, Minnesota",271,211,0,60,0,0,0,271,1,270,271,0
"Granite Falls city, Chippewa County, Minnesota",693,630,3,57,0,0,7,693,28,665,689,4
"Havelock township, Chippewa County, Minnesota",153,153,2,0,0,0,0,153,5,148,151,2
"Kragero township, Chippewa County, Minnesota",86,80,0,0,0,0,7,86,7,79,85,1
"Leenthrop township, Chippewa County, Minnesota",262,248,0,18,14,0,0,262,3,259,248,14
"Lone Tree township, Chippewa County, Minnesota",226,226,0,0,0,0,0,226,6,220,226,0
"Louriston township, Chippewa County, Minnesota",140,140,0,0,0,0,0,140,20,120,140,0
"Mandt township, Chippewa County, Minnesota",146,146,0,0,0,0,0,146,0,146,146,0
"Maynard city, Chippewa County, Minnesota",415,397,1,0,2,0,18,415,21,394,412,3
"Milan city, Chippewa County, Minnesota",344,185,0,0,7,124,30,344,44,300,342,2
"Montevideo city, Chippewa County, Minnesota",5165,4853,137,54,129,8,102,5165,479,4686,5047,118
"Raymond city, Chippewa County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Rheiderland township, Chippewa County, Minnesota",251,247,0,0,0,0,4,251,21,230,251,0
"Rosewood township, Chippewa County, Minnesota",378,378,2,0,0,0,0,378,0,378,376,2
"Sparta township, Chippewa County, Minnesota",689,680,2,37,0,0,0,689,6,683,659,30
"Stoneham township, Chippewa County, Minnesota",253,251,0,0,0,0,4,253,19,234,251,2
"Tunsberg township, Chippewa County, Minnesota",222,221,0,0,2,0,0,222,0,222,221,1
"Watson city, Chippewa County, Minnesota",206,201,2,0,7,0,0,206,0,206,202,4
"Woods township, Chippewa County, Minnesota",177,131,27,0,0,0,21,177,22,155,176,1
"Amador township, Chisago County, Minnesota",786,766,5,4,10,0,5,786,10,776,782,4
"Center City city, Chisago County, Minnesota",684,673,2,2,6,0,2,684,18,666,683,1
"Chisago City city, Chisago County, Minnesota",5008,4928,22,73,62,0,47,5008,103,4905,4899,109
"Chisago Lake township, Chisago County, Minnesota",4735,4652,19,6,47,0,24,4735,102,4633,4722,13
"Fish Lake township, Chisago County, Minnesota",2010,1980,15,36,20,0,0,2010,0,2010,1979,31
"Franconia township, Chisago County, Minnesota",1773,1737,12,35,8,0,13,1773,41,1732,1741,32
"Harris city, Chisago County, Minnesota",1006,965,19,9,14,4,0,1006,14,992,1001,5
"Lent township, Chisago County, Minnesota",3050,2969,10,36,85,0,2,3050,24,3026,2998,52
"Lindstrom city, Chisago County, Minnesota",4442,4254,15,18,198,0,16,4442,100,4342,4393,49
"Nessel township, Chisago County, Minnesota",1837,1807,20,26,22,0,0,1837,29,1808,1799,38
"North Branch city, Chisago County, Minnesota",10241,10057,125,77,8,9,77,10241,374,9867,10129,112
"Rush City city, Chisago County, Minnesota",3106,2515,481,120,62,0,0,3106,66,3040,3049,57
"Rushseba township, Chisago County, Minnesota",739,682,14,18,53,0,0,739,10,729,711,28
"Shafer city, Chisago County, Minnesota",1139,1127,21,25,0,0,0,1139,5,1134,1106,33
"Shafer township, Chisago County, Minnesota",1001,987,29,11,3,0,0,1001,0,1001,972,29
"Stacy city, Chisago County, Minnesota",1723,1672,80,24,32,2,0,1723,11,1712,1636,87
"Sunrise township, Chisago County, Minnesota",2222,2132,76,2,16,0,0,2222,21,2201,2218,4
"Taylors Falls city, Chisago County, Minnesota",1002,987,0,28,0,0,0,1002,17,985,989,13
"Wyoming city, Chisago County, Minnesota",7793,7728,0,68,101,0,0,7793,147,7646,7689,104
"Alliance township, Clay County, Minnesota",267,267,0,0,0,0,0,267,0,267,267,0
"Barnesville city, Clay County, Minnesota",2574,2427,65,92,63,0,0,2574,15,2559,2501,73
"Barnesville township, Clay County, Minnesota",162,162,0,0,0,0,0,162,3,159,162,0
"Comstock city, Clay County, Minnesota",92,91,0,0,1,0,0,92,0,92,92,0
"Cromwell township, Clay County, Minnesota",438,435,0,0,3,0,0,438,0,438,438,0
"Dilworth city, Clay County, Minnesota",4293,4042,105,116,93,0,120,4293,305,3988,4110,183
"Eglon township, Clay County, Minnesota",538,530,3,0,5,0,0,538,0,538,538,0
"Elkton township, Clay County, Minnesota",359,348,0,8,0,0,3,359,3,356,359,0
"Elmwood township, Clay County, Minnesota",490,486,4,0,2,0,0,490,2,488,488,2
"Felton city, Clay County, Minnesota",147,147,0,0,0,0,0,147,0,147,147,0
"Felton township, Clay County, Minnesota",76,76,0,0,0,0,0,76,0,76,76,0
"Flowing township, Clay County, Minnesota",42,42,0,0,0,0,0,42,0,42,42,0
"Georgetown city, Clay County, Minnesota",74,74,0,0,0,0,0,74,12,62,74,0
"Georgetown township, Clay County, Minnesota",114,111,0,3,0,0,0,114,2,112,114,0
"Glyndon city, Clay County, Minnesota",1163,1103,20,46,0,0,15,1163,117,1046,1142,21
"Glyndon township, Clay County, Minnesota",311,311,0,0,0,0,0,311,5,306,311,0
"Goose Prairie township, Clay County, Minnesota",194,188,0,0,6,0,0,194,5,189,194,0
"Hagen township, Clay County, Minnesota",177,176,0,0,0,0,4,177,4,173,174,3
"Hawley city, Clay County, Minnesota",2009,1863,22,124,38,0,0,2009,58,1951,1971,38
"Hawley township, Clay County, Minnesota",460,459,0,7,0,0,0,460,3,457,454,6
"Highland Grove township, Clay County, Minnesota",301,297,0,0,4,0,0,301,0,301,301,0
"Hitterdal city, Clay County, Minnesota",176,176,0,0,0,0,0,176,18,158,176,0
"Holy Cross township, Clay County, Minnesota",165,163,0,0,2,0,0,165,0,165,165,0
"Humboldt township, Clay County, Minnesota",259,259,0,7,5,0,0,259,2,257,249,10
"Keene township, Clay County, Minnesota",140,140,0,7,0,0,0,140,7,133,133,7
"Kragnes township, Clay County, Minnesota",220,220,0,0,0,0,0,220,0,220,220,0
"Kurtz township, Clay County, Minnesota",224,220,0,24,0,4,0,224,1,223,200,24
"Moland township, Clay County, Minnesota",254,254,0,0,0,0,0,254,2,252,254,0
"Moorhead city, Clay County, Minnesota",41801,38926,1849,967,850,2,372,41801,2046,39755,40650,1151
"Moorhead township, Clay County, Minnesota",206,206,0,0,0,0,0,206,2,204,206,0
"Morken township, Clay County, Minnesota",128,128,0,0,0,0,0,128,0,128,128,0
"Oakport township, Clay County, Minnesota",859,804,0,40,101,15,15,859,15,844,743,116
"Parke township, Clay County, Minnesota",494,491,0,3,0,0,0,494,16,478,494,0
"Riverton township, Clay County, Minnesota",582,576,2,4,11,0,23,582,23,559,554,28
"Sabin city, Clay County, Minnesota",624,624,0,0,0,0,0,624,11,613,624,0
"Skree township, Clay County, Minnesota",157,145,3,0,8,2,2,157,9,148,154,3
"Spring Prairie township, Clay County, Minnesota",382,378,5,1,8,4,0,382,0,382,372,10
"Tansem township, Clay County, Minnesota",270,252,0,7,21,1,3,270,2,268,256,14
"Ulen city, Clay County, Minnesota",524,524,0,18,17,0,0,524,0,524,489,35
"Ulen township, Clay County, Minnesota",196,194,2,0,0,0,0,196,0,196,196,0
"Viding township, Clay County, Minnesota",98,77,0,17,4,0,0,98,0,98,98,0
"Bagley city, Clearwater County, Minnesota",1611,1465,32,162,10,0,0,1611,10,1601,1553,58
"Bear Creek township, Clearwater County, Minnesota",93,93,0,0,0,0,0,93,2,91,93,0
"Clearbrook city, Clearwater County, Minnesota",472,472,0,8,0,0,0,472,19,453,464,8
"Clover township, Clearwater County, Minnesota",57,57,0,0,0,0,0,57,0,57,57,0
"Copley township, Clearwater County, Minnesota",691,673,10,63,7,0,0,691,0,691,629,62
"Dudley township, Clearwater County, Minnesota",469,467,0,6,4,0,0,469,8,461,461,8
"Eddy township, Clearwater County, Minnesota",324,315,0,0,9,0,0,324,0,324,324,0
"Falk township, Clearwater County, Minnesota",324,250,4,101,0,10,5,324,1,323,280,44
"Gonvick city, Clearwater County, Minnesota",328,293,0,49,21,0,0,328,8,320,293,35
"Greenwood township, Clearwater County, Minnesota",68,60,0,7,3,0,0,68,0,68,66,2
"Hangaard township, Clearwater County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Holst township, Clearwater County, Minnesota",354,352,0,9,0,0,11,354,11,343,336,18
"Itasca township, Clearwater County, Minnesota",114,104,0,10,0,0,0,114,3,111,114,0
"La Prairie township, Clearwater County, Minnesota",483,115,0,373,0,0,0,483,12,471,478,5
"Leon township, Clearwater County, Minnesota",362,362,0,3,3,0,0,362,8,354,359,3
"Leonard city, Clearwater County, Minnesota",38,38,0,0,0,0,0,38,0,38,38,0
"Long Lost Lake township, Clearwater County, Minnesota",82,66,0,16,0,0,0,82,0,82,82,0
"Minerva township, Clearwater County, Minnesota",209,199,0,21,0,2,0,209,16,193,196,13
"Moose Creek township, Clearwater County, Minnesota",269,269,0,6,0,0,0,269,0,269,263,6
"Nora township, Clearwater County, Minnesota",436,417,0,19,0,0,35,436,40,396,401,35
"North Clearwater UT, Clearwater County, Minnesota",67,13,0,54,0,0,0,67,13,54,67,0
"Pine Lake township, Clearwater County, Minnesota",443,425,0,34,4,0,0,443,3,440,423,20
"Popple township, Clearwater County, Minnesota",518,505,0,37,3,0,0,518,3,515,491,27
"Rice township, Clearwater County, Minnesota",106,79,0,29,0,0,0,106,3,103,104,2
"Shevlin city, Clearwater County, Minnesota",148,145,0,5,0,0,0,148,0,148,146,2
"Shevlin township, Clearwater County, Minnesota",492,482,0,6,2,0,2,492,13,479,492,0
"Sinclair township, Clearwater County, Minnesota",157,157,0,0,0,0,0,157,4,153,157,0
"South Clearwater UT, Clearwater County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Winsor township, Clearwater County, Minnesota",109,92,0,17,0,0,0,109,0,109,109,0
"County subdivisions not defined, Cook County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"East Cook UT, Cook County, Minnesota",857,821,23,25,0,0,0,857,24,833,845,12
"Grand Marais city, Cook County, Minnesota",1191,1162,4,15,0,0,18,1191,34,1157,1183,8
"Grand Portage UT, Cook County, Minnesota",718,256,8,481,58,4,1,718,7,711,635,83
"Lutsen township, Cook County, Minnesota",560,537,0,0,2,2,23,560,23,537,558,2
"Schroeder township, Cook County, Minnesota",186,186,0,6,0,0,0,186,0,186,180,6
"Tofte township, Cook County, Minnesota",236,222,0,0,0,0,14,236,14,222,236,0
"West Cook UT, Cook County, Minnesota",1522,1522,0,14,0,0,0,1522,7,1515,1508,14
"Amboy township, Cottonwood County, Minnesota",148,148,4,0,0,0,0,148,0,148,144,4
"Amo township, Cottonwood County, Minnesota",82,82,0,0,0,0,0,82,0,82,82,0
"Ann township, Cottonwood County, Minnesota",144,144,0,0,0,0,0,144,0,144,144,0
"Bingham Lake city, Cottonwood County, Minnesota",175,164,8,0,4,0,0,175,0,175,174,1
"Carson township, Cottonwood County, Minnesota",313,313,0,4,0,0,0,313,0,313,309,4
"Comfrey city, Cottonwood County, Minnesota",30,30,0,0,0,0,0,30,0,30,30,0
"Dale township, Cottonwood County, Minnesota",97,97,0,0,0,0,0,97,0,97,97,0
"Delton township, Cottonwood County, Minnesota",137,137,0,0,0,0,0,137,5,132,137,0
"Germantown township, Cottonwood County, Minnesota",216,206,0,0,0,0,10,216,10,206,216,0
"Great Bend township, Cottonwood County, Minnesota",419,416,14,0,3,0,0,419,0,419,405,14
"Highwater township, Cottonwood County, Minnesota",134,134,0,0,0,0,0,134,0,134,134,0
"Jeffers city, Cottonwood County, Minnesota",387,385,0,2,0,0,0,387,34,353,387,0
"Lakeside township, Cottonwood County, Minnesota",281,276,0,0,5,0,0,281,0,281,281,0
"Midway township, Cottonwood County, Minnesota",185,179,0,0,6,0,0,185,0,185,185,0
"Mountain Lake city, Cottonwood County, Minnesota",2084,1688,44,49,224,0,153,2084,294,1790,2010,74
"Mountain Lake township, Cottonwood County, Minnesota",245,245,0,0,0,0,0,245,2,243,245,0
"Rose Hill township, Cottonwood County, Minnesota",140,140,0,0,0,0,0,140,0,140,140,0
"Selma township, Cottonwood County, Minnesota",147,147,0,0,0,0,0,147,0,147,147,0
"Southbrook township, Cottonwood County, Minnesota",69,69,0,0,0,0,0,69,0,69,69,0
"Springfield township, Cottonwood County, Minnesota",115,115,0,0,0,0,0,115,0,115,115,0
"Storden city, Cottonwood County, Minnesota",275,271,14,0,3,0,0,275,15,260,263,12
"Storden township, Cottonwood County, Minnesota",112,112,0,0,0,0,0,112,0,112,112,0
"Westbrook city, Cottonwood County, Minnesota",727,723,1,3,2,0,0,727,4,723,725,2
"Westbrook township, Cottonwood County, Minnesota",287,287,0,0,0,0,0,287,0,287,287,0
"Windom city, Cottonwood County, Minnesota",4488,3979,83,29,141,44,292,4488,450,4038,4408,80
"Baxter city, Crow Wing County, Minnesota",7988,7756,66,112,189,0,52,7988,79,7909,7801,187
"Bay Lake township, Crow Wing County, Minnesota",889,856,7,29,0,0,0,889,33,856,886,3
"Brainerd city, Crow Wing County, Minnesota",13394,12750,548,360,59,0,41,13394,267,13127,13052,342
"Breezy Point city, Crow Wing County, Minnesota",2239,2232,0,13,28,0,0,2239,43,2196,2205,34
"Center township, Crow Wing County, Minnesota",887,882,0,5,0,0,0,887,4,883,887,0
"Crosby city, Crow Wing County, Minnesota",2719,2647,0,95,81,0,0,2719,86,2633,2615,104
"Crosslake city, Crow Wing County, Minnesota",1865,1863,1,1,0,0,0,1865,1,1864,1865,0
"Crow Wing township, Crow Wing County, Minnesota",2113,2091,4,12,12,3,0,2113,23,2090,2104,9
"Cuyuna city, Crow Wing County, Minnesota",316,314,0,0,2,0,2,316,8,308,314,2
"Daggett Brook township, Crow Wing County, Minnesota",659,659,0,0,0,0,0,659,0,659,659,0
"Deerwood city, Crow Wing County, Minnesota",547,547,34,47,3,0,0,547,29,518,497,50
