Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Mapleton township, Blue Earth County, Minnesota",352,352,12,0,0,0,0,352,41,311,340,12
"Medo township, Blue Earth County, Minnesota",352,349,2,2,0,0,0,352,2,350,351,1
"Minnesota Lake city, Blue Earth County, Minnesota",13,13,0,0,0,0,0,13,0,13,13,0
"North Mankato city, Blue Earth County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Pemberton city, Blue Earth County, Minnesota",270,267,0,3,0,0,5,270,32,238,265,5
"Pleasant Mound township, Blue Earth County, Minnesota",232,232,0,0,0,0,0,232,2,230,232,0
"Rapidan township, Blue Earth County, Minnesota",1073,1070,2,0,19,0,0,1073,4,1069,1055,18
"St. Clair city, Blue Earth County, Minnesota",869,869,6,2,8,0,0,869,83,786,853,16
"Shelby township, Blue Earth County, Minnesota",282,277,0,4,9,0,0,282,0,282,274,8
"Skyline city, Blue Earth County, Minnesota",296,288,0,3,5,0,6,296,6,290,290,6
"South Bend township, Blue Earth County, Minnesota",1820,1707,128,6,3,0,0,1820,74,1746,1796,24
"Sterling township, Blue Earth County, Minnesota",286,270,1,0,15,0,0,286,0,286,286,0
"Vernon Center city, Blue Earth County, Minnesota",359,359,2,0,0,0,0,359,17,342,357,2
"Vernon Center township, Blue Earth County, Minnesota",193,185,8,3,0,0,2,193,0,193,188,5
"Albin township, Brown County, Minnesota",304,302,1,0,1,0,1,304,1,303,303,1
"Bashaw township, Brown County, Minnesota",217,217,0,0,0,0,0,217,0,217,217,0
"Burnstown township, Brown County, Minnesota",213,198,0,0,15,0,0,213,0,213,213,0
"Cobden city, Brown County, Minnesota",12,12,0,0,0,0,0,12,0,12,12,0
"Comfrey city, Brown County, Minnesota",320,315,0,0,5,0,0,320,17,303,320,0
"Cottonwood township, Brown County, Minnesota",895,895,0,0,0,0,0,895,3,892,895,0
"Eden township, Brown County, Minnesota",261,261,0,0,0,0,0,261,0,261,261,0
"Evan city, Brown County, Minnesota",64,64,0,1,0,0,0,64,1,63,63,1
"Hanska city, Brown County, Minnesota",419,418,0,0,0,0,1,419,11,408,419,0
"Home township, Brown County, Minnesota",448,448,0,0,0,0,0,448,1,447,448,0
"Lake Hanska township, Brown County, Minnesota",290,284,0,5,10,3,1,290,1,289,277,13
